Temperature	Density	Pressure	State
0.50	1.20	7.9470	S
1.00	0.80	1.040	L
3.00	0.30	0.8960	G
0.10	1.20	6.320	S
0.75	0.50	0.0489	Î¤
0.75	0.30	0.0933	D
0.75	0.40	0.0314	D
0.75	0.5	0.0525141	T
1.5	0.5	0.598285	D
1.25	0.5	0.40563	D
1	0.5	0.181146	D
0.5	0.25	0.0064414	D
0.75	0.25	0.0722854	D
1.5	0.25	0.321369	G
1.25	0.25	0.24081805	G
1	0.25	0.1527237	D
0.75	0.75	0.2231387	D
1.5	0.75	1.19581459	L
1.25	0.75	1.0298312	L
1	0.75	0.612607	D
0.5	1	0.091866	S
0.75	1	2.899273	L
1.5	1	3.706168	L
1.25	1	3.518105	L
1	1	3.1365157	L
0.50	1.25	4.8105	D
0.75	1.25	4.9162	D
1.50	1.25	5.8655	D
1.25	1.25	5.4634	D
1.00	1.25	5.2379	D
2	0.5	1	G
0.25	1	3	S
2.5	1	4.847849168	D