T9,PP1,PP2,PP3,CNO1,CNO2,CNO3,CNO4,CNO5,CNO6
0.008,4.74E-21,4.27E-04,3.08E-15,1.00E-21,1.67E-03,4.15E-21,1.03E-24,8.18E-03,2.27E-20
0.009,8.46E-21,8.17E-04,3.02E-14,1.30E-20,1.67E-03,5.39E-20,1.78E-23,8.18E-03,4.01E-19
0.01,1.39E-20,1.43E-02,2.16E-13,1.18E-19,1.67E-03,4.90E-19,2.08E-22,8.18E-03,4.76E-18
0.011,2.14E-20,2.32E-02,1.20E-12,8.15E-19,1.67E-03,3.37E-18,1.77E-21,8.18E-03,4.14E-17
0.012,3.13E-20,3.57E-02,5.51E-12,4.49E-18,1.67E-03,1.86E-17,1.18E-20,8.18E-03,2.81E-16
0.013,4.41E-20,5.24E-02,2.14E-11,2.06E-17,1.67E-03,8.54E-17,6.44E-20,8.18E-03,1.56E-15
0.014,5.98E-20,7.40E-02,7.29E-11,8.17E-17,1.67E-03,3.38E-16,2.97E-19,8.18E-03,7.31E-15
0.015,7.90E-20,1.01E-01,2.22E-10,2.85E-16,1.67E-03,1.18E-15,1.19E-18,8.18E-03,2.98E-14
0.016,1.02E-19,1.35E-01,6.12E-10,8.96E-16,1.67E-03,3.69E-15,4.24E-18,8.18E-03,1.08E-13
0.018,1.59E-19,2.24E-01,3.69E-09,6.78E-15,1.67E-03,2.79E-14,4.00E-17,8.18E-03,1.04E-12
0.02,2.34E-19,3.47E-01,1.73E-08,3.88E-14,1.67E-03,1.59E-13,2.76E-16,8.18E-03,7.39E-12
0.025,5.02E-19,8.29E-01,3.81E-07,1.28E-12,1.67E-03,5.18E-12,1.31E-14,8.18E-03,3.74E-10
0.03,8.96E-19,1.61E-01,4.01E-06,1.83E-11,1.67E-03,7.38E-11,2.48E-13,8.18E-03,7.48E-09
0.04,2.08E-18,4.23E-01,1.22E-04,8.86E-10,1.67E-03,3.54E-09,1.78E-11,8.18E-03,5.87E-07
0.05,3.76E-18,8.41E-01,1.38E-03,1.40E-08,1.67E-03,5.53E-08,3.68E-10,8.18E-03,1.31E-05
0.06,5.91E-18,1.42E+00,8.70E-03,1.14E-07,1.67E-03,4.50E-07,3.68E-09,8.18E-03,1.45E-04
0.07,8.47E-18,2.16E+00,3.77E-02,6.13E-07,1.67E-03,2.40E-06,2.30E-08,8.18E-03,1.00E-03
0.08,1.14E-17,3.06E+00,1.26E-01,2.45E-06,1.67E-03,9.57E-06,1.04E-07,8.18E-03,5.04E-03
0.09,1.47E-17,4.11E+00,3.48E-01,7.93E-06,1.67E-03,3.08E-05,3.70E-07,8.18E-03,1.99E-02
0.1,1.83E-17,5.30E+00,8.33E-01,2.18E-05,1.67E-03,8.43E-05,1.11E-06,8.18E-03,6.53E-02
0.11,2.21E-17,6.63E+00,1.78E+00,5.29E-05,1.67E-03,2.04E-04,2.95E-06,8.18E-03,1.87E-01
0.12,2.62E-17,8.09E+00,3.49E+00,1.16E-04,1.67E-03,4.45E-04,7.37E-06,8.18E-03,4.77E-01
0.13,3.06E-17,9.66E+00,6.37E+00,2.36E-04,1.67E-03,8.95E-03,1.85E-05,8.18E-03,1.12E+00